,MDD,MSE,RMSE,Sharpe Ratio,annual returns,feature,label,level,method,model,name,validation length
0,-0.33156942370996845,0.0004840333547990064,0.019233021391869158,0.1521492633787114,0.011647087583327664,TI,C_RF_TI_1Y,stock,baseline,RF,RF TI stock validation=1Y,1Y
1,-0.5151080548728525,0.00048719371641427135,0.019298073313435502,-0.19226977200015347,-0.0355200299664169,TI,C_RF_TI_1Y,stock,best,RF,RF TI stock validation=1Y,1Y
2,-0.4258626848284363,0.00048813947611031676,0.019306485114234693,0.0023496893682723153,-0.009495606842954252,TI,C_RF_TI_1Y,stock,worst,RF,RF TI stock validation=1Y,1Y
3,-0.5206201464835641,0.00048809335293234615,0.019315683780089753,-0.2443802173517102,-0.04372909456923135,TI,C_RF_TI_1Y,stock,running,RF,RF TI stock validation=1Y,1Y
4,-0.33306810130221104,0.0004376058324373188,0.018022581914864683,0.11011358479437813,0.005918664619575242,TI,C_RF_TI_6M,stock,baseline,RF,RF TI stock validation=6M,6M
5,-0.2823598416517953,0.00043943357218407934,0.018064758731287222,0.5292813712810741,0.06392723431163105,TI,C_RF_TI_6M,stock,best,RF,RF TI stock validation=6M,6M
6,-0.32567715221857874,0.0004399627239517966,0.018074497017361454,0.39488392385865456,0.04425812624619119,TI,C_RF_TI_6M,stock,worst,RF,RF TI stock validation=6M,6M
7,-0.32683109260068277,0.0004413108259502167,0.018100561261617597,0.42086177497524174,0.048973478785051094,TI,C_RF_TI_6M,stock,running,RF,RF TI stock validation=6M,6M
8,-0.17029814606800797,0.0004357585865121816,0.01813044424469369,1.226786764223384,0.15976975402116422,LR,C_RF_LR_1Y,stock,baseline,RF,RF LR stock validation=1Y,1Y
9,-0.1743294193504884,0.0004359342648666486,0.01813690411927386,1.0606428803738286,0.13644962712738273,LR,C_RF_LR_1Y,stock,best,RF,RF LR stock validation=1Y,1Y
10,-0.1629046040538907,0.00043587254564987827,0.018132697027628857,1.0564596486691478,0.13582257863884384,LR,C_RF_LR_1Y,stock,worst,RF,RF LR stock validation=1Y,1Y
11,-0.22419715009412539,0.0004358556161868748,0.018132920406885453,0.9944358416869978,0.12630737746806298,LR,C_RF_LR_1Y,stock,running,RF,RF LR stock validation=1Y,1Y
12,-0.2627584440908706,0.00039622649063618376,0.017024069144514452,1.0824498359783365,0.14147559815186184,LR,C_RF_LR_6M,stock,baseline,RF,RF LR stock validation=6M,6M
13,-0.28875620420788856,0.0003966038605403224,0.01703431424756386,0.9497940195137329,0.1231855343170789,LR,C_RF_LR_6M,stock,best,RF,RF LR stock validation=6M,6M
14,-0.18425213460137144,0.0003962497191056862,0.01702539893958333,1.0686798866621632,0.14075273860835735,LR,C_RF_LR_6M,stock,worst,RF,RF LR stock validation=6M,6M
15,-0.18833256196558076,0.0003962926075532775,0.017026627132111408,1.112032099229432,0.14887128773046454,LR,C_RF_LR_6M,stock,running,RF,RF LR stock validation=6M,6M
16,-0.23837013607182067,0.000470169921209682,0.01954201207199999,0.27687981296095393,0.020840721084359304,LR,C_SVR_LR_1Y,stock,baseline,SVR,SVR LR stock validation=1Y,1Y
17,-0.2968304541656302,0.00046882313451850316,0.019505450932858055,0.20035158481539272,0.013936435165983196,LR,C_SVR_LR_1Y,stock,best,SVR,SVR LR stock validation=1Y,1Y
18,-0.23837013607182067,0.00047011533527179075,0.019539608369057486,0.31642533303648296,0.024402667673170786,LR,C_SVR_LR_1Y,stock,worst,SVR,SVR LR stock validation=1Y,1Y
19,-0.23837013607182136,0.00047003704049084524,0.019536468294932427,0.27532368110512045,0.020729101794181748,LR,C_SVR_LR_1Y,stock,running,SVR,SVR LR stock validation=1Y,1Y
20,-0.2624469907847601,0.00043463499714295245,0.01850616028199426,0.3118437115804626,0.024549907345653654,LR,C_SVR_LR_6M,stock,baseline,SVR,SVR LR stock validation=6M,6M
21,-0.2409131286139387,0.00043440693435731296,0.018503293381899103,0.5516633594218938,0.047369766522432855,LR,C_SVR_LR_6M,stock,best,SVR,SVR LR stock validation=6M,6M
22,-0.2624469907847606,0.00043461793135401034,0.01850498756530283,0.3070552350024365,0.024095883326720635,LR,C_SVR_LR_6M,stock,worst,SVR,SVR LR stock validation=6M,6M
23,-0.27689813911493494,0.000434686079313481,0.018508336185340164,0.30382915093328994,0.023853156471690395,LR,C_SVR_LR_6M,stock,running,SVR,SVR LR stock validation=6M,6M
24,-0.17612510876563198,0.00043408841298958807,0.01810557909631685,1.2835796400394588,0.1507259562687262,LR,C_SVR_LR_1Y_2,stock,baseline,SVR,SVR LR stock validation=1Y,1Y
25,-0.15193367513309183,0.0004336655434799803,0.018092754867043506,1.4488610868251008,0.17175730254505117,LR,C_SVR_LR_1Y_2,stock,best,SVR,SVR LR stock validation=1Y,1Y
26,-0.17612510876563228,0.00043408177806999456,0.018105432362884654,1.3148015480044002,0.15473020213220812,LR,C_SVR_LR_1Y_2,stock,worst,SVR,SVR LR stock validation=1Y,1Y
27,-0.17159033063872128,0.00043401061563197425,0.018102957560698605,1.3312200588755159,0.15736893895858728,LR,C_SVR_LR_1Y_2,stock,running,SVR,SVR LR stock validation=1Y,1Y
28,-0.1998014760344542,0.00039454776358680764,0.017001022005544444,1.0977440897600084,0.13268955964661622,LR,C_SVR_LR_6M_2,stock,baseline,SVR,SVR LR stock validation=6M,6M
29,-0.190174091810488,0.0003943196593361701,0.016992678304697532,1.0897518339727363,0.13084537129277773,LR,C_SVR_LR_6M_2,stock,best,SVR,SVR LR stock validation=6M,6M
